目标变量,最佳模型,R2分数,MSE,MAE
energy,XGBoost,0.5280039687795806,0.9213259000932541,0.7745500057200699
advance_speed_mm_per_min_mean,XGBoost,0.9787747138846726,3.26883415914406,1.3808242964730146
cutter_1_wear,随机森林,0.23749592421995447,6.415421168195157e-05,0.005529366461783211
cutter_2_wear,K近邻,0.25386373496748516,0.0001032400822921805,0.007636555801161044
cutter_3_wear,K近邻,0.18016626332923258,0.00012025965415775601,0.008195819662172765
cutter_4_wear,XGBoost,0.20701620342330285,0.00013534667642557723,0.008653230661303848
cutter_5_wear,随机森林,0.20564052788831488,0.00015065620386754656,0.008708180161158813
cutter_6_wear,XGBoost,0.1874417404683656,0.00015958726367348635,0.009819409031081855
cutter_7_wear,AdaBoost,0.1955744099637894,0.00016934350544860077,0.009790111266300241
cutter_8_wear,随机森林,0.18700404762438771,0.00018330151465383767,0.009619992932901632
cutter_9_wear,XGBoost,0.23185170913097786,0.00021149136578164224,0.011139904801632823
cutter_10_wear,XGBoost,0.19163692574526048,0.00023671213814678753,0.011983079905830508
cutter_11_wear,XGBoost,0.18607386975449658,0.0002524663420139439,0.012371817476148935
cutter_12_wear,梯度提升,0.18661142853705537,0.00026709513337508795,0.012701557099073894
cutter_13_wear,随机森林,0.2947840446844492,0.0003735431027115478,0.014348018415648606
cutter_14_wear,AdaBoost,0.2137724853195111,0.00028875007157394816,0.01279221396652217
cutter_15_wear,AdaBoost,0.21135150609721043,0.0003215408922003422,0.013514571407705903
cutter_16_wear,梯度提升,0.22884103260396782,0.00033735673162698716,0.013465253300902643
cutter_17_wear,梯度提升,0.1939196742624013,0.00037389378608466484,0.015159789405368046
cutter_18_wear,XGBoost,0.23703305940489827,0.0003514765622205016,0.014342298123209678
cutter_19_wear,XGBoost,0.24999485897235307,0.00035650771933888186,0.014489014622879237
cutter_20_wear,XGBoost,0.283215746654749,0.00031901107069413713,0.014025039601824999
cutter_21_wear,K近邻,0.2375401373398821,0.0003952922828930864,0.0151829550404466
cutter_22_wear,XGBoost,0.2495404998659556,0.0004202016120813815,0.015718808031623982
cutter_23_wear,随机森林,0.27263300924606604,0.0004070581846093409,0.014967821344241704
cutter_24_wear,XGBoost,0.2522087383896159,0.00045024729228902363,0.016402857478492704
cutter_25_wear,XGBoost,0.24611341959059818,0.0004805445490623514,0.01690965321355152
cutter_26_wear,随机森林,0.26944514702965683,0.0004701222920575941,0.016313135112186183
cutter_27_wear,随机森林,0.26984283344201254,0.0005866077754776356,0.017346837904140593
cutter_28_wear,XGBoost,0.24111357738159367,0.0005392430977999765,0.01779567093231795
cutter_29_wear,随机森林,0.28129027297988785,0.0006121498258074636,0.018306297584962737
cutter_30_wear,随机森林,0.14693785865394915,0.0007090478787670428,0.018693390060108186
cutter_31_wear,随机森林,0.2567991951715425,0.0010534628085560086,0.023052396648112698
cutter_32_wear,Ridge回归,0.1257631701827464,0.000773296288597556,0.02161382124708342
cutter_33_wear,XGBoost,0.33979556841226477,0.0007982941055231908,0.021616938802703566
cutter_34_wear,随机森林,0.2966716493909528,0.0007923621770834469,0.020389743164606015
cutter_35_wear,K近邻,0.18907918048013128,0.0014847787798503913,0.028050315947854565
cutter_36_wear,随机森林,0.33059157999353295,0.0011610529977894514,0.026752658118545124
cutter_37_wear,随机森林,0.19916162387184222,0.002291796658510892,0.03421263027890804
cutter_38_wear,AdaBoost,0.11742358997178703,0.0029209545310931754,0.041471981578602705
cutter_39_wear,XGBoost,0.11592150624805342,0.0031090788138156008,0.041761902468221666
cutter_40_wear,随机森林,0.10937162804874911,0.002763619974363449,0.03872668256637931
cutter_41_wear,Ridge回归,0.13701193868619654,0.0026085838188099593,0.038806724201820283
